batch_size,epochs,tag,precision
64,1,--padding--,1.0
64,1,N,0.8806591023793414
64,1,V,0.9408614313179045
64,1,PREP,0.9294429977571108
64,1,CUR,0.3732852708521077
64,1,NUM,0.7813866560909465
64,1,PREP+ART,0.9611557984589998
64,1,NPROP,0.7693200095722554
64,1,PU,0.999448901561427
64,1,PROADJ,0.9419010471938066
64,1,PRO-KS,0.8393504790444345
64,1,ADJ,0.735966740608589
64,1,KC,0.9751652037494143
64,1,ART,0.9480354118796409
64,1,KS,0.6936904079923921
64,1,PCP,0.821315947653491
64,1,ADV,0.8960158678082167
64,1,PROPESS,0.9440829031706414
64,1,PREP+PROADJ,0.5476452721871767
64,1,PDEN,0.7404399745643363
64,1,PROSUB,0.818565638271256
64,1,PREP+PROPESS,0.18904575948733354
64,1,ADV-KS,0.24645372317345884
64,1,PREP+PRO-KS,0.051266646640632824
64,1,PREP+PROSUB,0.12069023063315643
64,1,IN,0.0
64,1,PREP+ADV,0.0
